BillDate,ItemName,Quantity,State,CustomerType
06/10/2024,Heavy Metal Parking Lot,5,California,Rental
24/10/2024,Hotel de Love,5,California,New
12/07/2024,Berlin Babylon,3,California,Rental
28/06/2024,Tainted,5,California,Subscription based
13/04/2024,"Strange Little Cat, The (Das merkwürdige Kätzchen)",2,California,Rental
06/11/2024,"Uninvited, The",4,California,New
05/12/2023,Jump Tomorrow,2,California,New
13/06/2024,"Institute Benjamenta, or This Dream People Call Human Life",2,California,New
03/03/2024,"Unsaid, The",3,California,Subscription based
02/09/2024,Twin Peaks: Fire Walk with Me,6,California,Subscription based
17/08/2024,Tales That Witness Madness,2,California,Rental
02/07/2024,Jiro Dreams of Sushi,6,California,Subscription based
02/11/2024,Beastmaster 2: Through the Portal of Time,6,California,New
